class1,class2,class3,itemkey,title,body,body2,body3,subkey,remarks,secbody,secbody2,trititle,tribody,tribody2,state,state2,type,place,receiver,author,create_date,year,pdf,image,quantity,備考
,,,alert/20190815-5,安全な麻酔のためのモニター指針 ,"[前文]
麻酔中の患者の安全を維持確保するために、日本麻酔科学会は下記の指針が採用されることを 勧告する。この指針は全身麻酔、硬膜外麻酔及び脊髄くも膜下麻酔を行うとき適用される。

[麻酔中のモニター指針]
①現場に麻酔を担当する医師が居て、絶え間なく看視すること。
②酸素化のチェックについて
皮膚、粘膜、血液の色などを看視すること。
パルスオキシメータを装着すること。
③換気のチェックについて
胸郭や呼吸バッグの動き及び呼吸音を監視すること。
全身麻酔ではカプノメータを装着すること。
換気量モニターを適宜使用することが望ましい。
④循環のチェックについて
心音、動脈の触診、動脈波形または脈波の何れか一つを監視すること。
心電図モニターを用いること。
血圧測定を行うこと。
原則として５分間隔で測定し、必要ならば頻回に測定すること。観血式血圧測定は必要に応じて行う。
⑤体温のチェックについて
体温測定を行うこと。
⑥筋弛緩のチェックについて
筋弛緩薬および拮抗薬を使用する際には、筋弛緩状態をモニタリングすること。
⑦脳波モニターの装着について
脳波モニターは必要に応じて装着すること。

【注意】全身麻酔器使用時は日本麻酔科学会作成の始業点検指針に従って始業点検を実施すること。
１９９３．４ 作成
１９９７．５ 第１回 改訂
２００９．１ 第２回 改訂
２０１４．７ 第３回 改訂
２０１９．３ 第４回 改訂",,,,,,,,,,通知文,,,,記入ナシ,記入ナシ,令和1年8月15日,2019/8/15,alert/20190815-5,,,
,,,safe/20190712,非血縁者間末梢血幹細胞採取における併用薬バイアスピリン投与について ,"拝啓

時下、ますますご清祥の段、お慶び申し上げます。
平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
このたび、非血縁者間末梢血幹細胞採取において、Ｇ-ＣＳＦ投与時に併用薬としてバイアスピリンを投与するとの報告がありました。
この報告を受け、本委員会で検討した結果、バイアスピリンについては出血のリスクがあることから、投与しないことを周知することといたしました。
つきましては、下記内容をご確認いただき、適切なご対応をお願い申し上げます。

敬具

記
非血縁者間末梢血幹細胞採取において、バイアスピリン等の抗血小板薬を投与しないこと。
＜参考 非血縁者間末梢血幹細胞採取マニュアル 2018.11.15 ホームページ版 Ｐ22 7.1.1＞
https://www.jmdp.or.jp/documents/file/04_medical/f-up03a.pdf

以上",,,,,,,,,,安全情報,,末梢血,,"非血縁者間末梢血幹細胞採取認定施設
採取責任医 師 各 位
輸 血 責任医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",令和1年7月12日,2019/7/12,safe/20190712,,,
,,,alert/20190614-1,ドナーリンパ球輸注療法(DLI)コーディネートに関する変更について,"このたび、DLI コーディネートに関して、新たに「DLI 採血後の造血幹細胞採取(自己血採血)間隔について」の基準を設け、また「DLI 採血前後の献血間隔について」が変更されることとなりました。
詳細は別紙をご確認ください。

1. DLI 採血後の造血幹細胞採取(自己血採血)間隔について
『ドナーリンパ球輸注（ＤＬＩ）マニュアル 第３版（2019/6/14 改訂）』
【追加】P7 「DLI 採血後の造血幹細胞採取(自己血採血)間隔について」

2. DLI 採血前後の献血間隔について
『DLI 採血前のドナーの方へ ～DLI に関する説明書～ 』
【変更】P4 ● 献血はお控えください",,,,,,,,,,通知文,,DLI,,"コーディネーター各位
地区事務局 御中","公益財団法人 日本骨髄バンク
ドナーコーディネート部",令和1年6月14日,2019/6/14,alert/20190614-1,,,
,,,alert/20190614-2,ドナーリンパ球輸注（DLI）マニュアル第 3 版 (2019/6/14 改訂),"新旧対照表
項目 　
ページ 
旧 
ページ 
新
目次 
（追加）
5.DLI 採血後の造血幹細胞採取（自己血採血）間隔について・・・P7
（以下ページ数変更あり）

5.DLI 採血後の造血幹細胞採取（自己血採血）間隔について
【新規】 
P7 
5.DLI 採血後の造血幹細胞採取（自己血採血）間隔について

【DLI 全血採血の場合】
採取方法 
DLI 200ml全血採血後の場合
DLI 400ml全血採血後の場合
骨髄採取 
男女共 DLI の 4 週間後より採取可能
※自己血採血がある場合は、自己血採血日を基準とする
男性は DLI の 12 週間後、女性は、16 週間後より採取可能
※自己血採血がある場合は、自己血採血日を基準とする

末梢血幹細胞採取
男女共 DLI の 8 週間後より採取可能

【DLI 成分採血の場合】
採取方法 
DLI 成分採血後の場合
骨髄採取 
男女共 DLI の 2 週間後より採取可能
末梢血幹細胞採取 
裏表紙
平成 15 年 11 月 1 日第 2 版第 1 刷発行
平成 30 年 11 月 15 日第 3 版作成
（発行日追加）
2019 年 6 月 14 日第 3 版改訂",,,,,,,,,,通知文,,,,記入ナシ,記入ナシ,令和1年6月14日,2019/6/14,alert/20190614-2,,,
,,,alert/20190614-3,DLI 採血前のドナーの方へ (第 5 版 2019/6/14 発行),"新旧対照表
項目 
ページ 
旧 
ページ 
新

4.日常生活・健康に関するお願い
P4 
●献血はお控えください
採血後 ： 検査などで異常のないことが確認されましたら２ヵ月後から献血が可能となります。（なお、骨髄・末梢
血幹細胞採取後、6 ヵ月以内も献血はできません）

P4

（変更）
採血後 ： 検査などで異常のないことが確認されると、２週間後以降から献血が可能となります。ただし、献血方法により異なるため、献血可能時期については下表をご参照ください（なお、骨髄・末梢血幹細胞採取後、6 ヵ月以内も献血はできません）。

【参照】 DLI 採血方法による献血可能時期について
DLI採血
成分献血
全血200ｍｌ
全血400ｍｌ
献血
成分献血
全献血
2週間後から
4週間後から
8週間後から
男性：12週間後から
女性：16週間後から
裏表紙 
2013 年 4 月 1 日 第 1 刷発行
2013 年 10 月 1 日 第 2 版発行
2016 年 12 月 1 日 第 3 版発行
2017 年 4 月 1 日 第 4 版発行 
（発行日追加）
2019 年 6 月 14 日 第 5 版発行",,,,,,,,,,通知文,,,,記入ナシ,記入ナシ,令和1年6月14日,2019/6/14,alert/20190614-3,,,
,,,alert/20190515-1,ドナー適格性判定基準（ＢＭH／ＰＢＳＣH） （2019/5/15 改訂）,"【臨床的な問題】 Ｐ7
旧 
新
詳細 
BMH 
PBSCH 
詳細 
BMH 
PBSCH

その他 
以下、不可（既往歴含む）
・悪性腫瘍
・カルチノイド
Ｄ 
Ｄ

【追加】
・サルコイドーシス
※P8【呼吸器疾患】より掲載変更
Ｄ 
Ｄ

【呼吸器疾患】 Ｐ8
肺感染症 

以下、不可（既往歴含む）
・サルコイドーシス
Ｄ
Ｄ 
【削除】
※P７【臨床的な問題】その他へ掲載変更",,,,,,,,,,通知文,,骨髄採取,,記入ナシ,記入ナシ,令和1年5月15日,2019/5/15,alert/20190515-1,,,
,,,alert/20190515-2,ドナー適格性判定基準（ＢＭH／ＰＢＳＣH） （2019/5/15 改訂）,"【その他】 
Ｐ73
旧 
新
詳細 
BMH 
PBSCH 
詳細 
BMH 
PBSCH
その他 
【新規】 
全身麻酔下で手術をした場合、６ヵ月以内の骨髄採取は不可
C 
--",,,,,,,,,,通知文,,骨髄採取,,記入ナシ,記入ナシ,令和1年5月15日,2019/5/15,alert/20190515-2,,,
,,,alert/20190515-3,東京電力福島第一原子力発電所で発生した事故に伴う骨髄提供者並びに末梢血幹細胞提供者に対する「ドナー適格性判定基準」について,"1. 概要

このたびの東京電力福島第一原子力発電所で発生した事故に伴う日本赤十字社の献血業務対応を踏まえ、骨髄提供者、末梢血幹細胞提供者並びに移植患者の保護等の観点から「ドナー適格性判定基準」への追加事項をドナー安全委員会において検討しました。
当財団で策定している「ドナー適格性判定基準」は日本赤十字社の献血基準に準拠していますが、追加基準の策定にあたっては、１）日本赤十字社「放射線被ばくの恐れのある献血者の受け入れについて」、２）厚生労働省労働基準局長から発出された被ばくに関する通知、３）当財団医療委員会の意見等を参考として、当面の間、2.
に示す基準とすることが決定しました。

2．適格性基準
福島第一原子力発電所において作業を実施した方について、平成 23 年東日本大震災（東北地方太平洋沖地震）に起因して原子力災害特別措置法(平成 11 年法律 156号)第 15 条の規定による原子力緊急事態宣言がなされた平成 23 年 3 月 11 日から、同条第 4 項の原子力緊急事態解除宣言がなされた日まで、相当量の被ばく線量(通算 100ミリシーベルト以上、または、短期間で被ばく線量 100 ミリシーベルト以上)を超えた場合には骨髄および末梢血幹細胞の提供は不可（D 判定）とします。

注１）上記以外(通算 100 ミリシーベルト未満)は、被ばく線量を患者主治医に伝える。
注２）当該対象者は、福島第一原子力発電所周辺における作業従事者で相当量の被ばくをした方を想定しており、福島第一、第二原子力発電所の避難勧告区域以内の避難住民および物資搬入、行方不明者捜索等で短期間の作業を従事した者については、健康状態等に十分配慮し、ドナー適格性判定基準に準じて判定する。",,,ドナー適格性判定基準（ＢＭH／ＰＢＳＣH） （2019/5/15 改訂）,"【東京電力福島第一原子力発電所で発生した事故に伴う骨髄提供者並びに末梢血幹細胞提供者に対する「ドナー適格性基準」追加について】

P74
旧
新
詳細
詳細

表題
東京電力福島第一原子力発電所で発生した事故に伴う骨髄提供者並びに末梢血幹細胞提供者に対する「ドナー適格性判定基準」追加について

【変更】
東京電力福島第一原子力発電所で発生した事故に伴う骨髄提供者並び
に末梢血幹細胞提供者に対する「ドナー適格性判定基準」について

2.適格性基準
注 1）上記以外（通算 100 ミリシーベルト未満）は、被ばく線量を患者主治医に伝えたうえで患者、ご家族および患者主治医等がリスクを検討し判断する。
注 1）上記以外（通算 100 ミリシーベルト未満）は、被ばく線量を患者主治医に伝える",,,,,,通知文,,骨髄採取,,記入ナシ,記入ナシ,令和1年5月15日,2019/5/15,alert/20190515-3,,,
,,,safe/20190417,非血縁者間骨髄提供者死亡事例（米国）について ,"2019 年 2 月米国において、骨髄提供後のボランティアドナー(以下、ドナーという)が昏睡状態となり、約 1 か月後死亡したとの情報が、4 月 12 日全米骨髄バンク（NMDP）から当法人に提供されました。

NMDP からの報告によれば本事例に関する情報は以下のとおりです。
当該ドナーにおいて、コーディネート過程で本人から、睡眠時無呼吸（sleep apnea）（＝無呼吸症候群）ならびに鎌状赤血球貧血（sickle cell anemia）のキャリアーであるとの申告があったため、採取チームは当初予定の末梢血幹細胞採取から局所麻酔下での骨髄採取術へと変更しました。

同年 2 月骨髄採取後、当該ドナーは昏睡状態に陥り回復することなく約 1 か月後に永眠されました。

本邦においては、非血縁骨髄提供者に対するドナー適格性判定基準が厳格に定められており、上記のような既往歴や現病歴のある場合は採取施行に至らないことを申し添えます。

最後に、ご遺族の方々、関係者の皆様に心より哀悼の意を表します。
なお、本事例に関して新たな情報が得られましたら改めて情報提供いたします。

◎情報
・提供者：40 歳代 男性
・局所麻酔下での骨髄採取後、昏睡状態となり、約 1 か月後死亡に至った。

以上",,,,,,,,,,安全情報（海外）,,骨髄採取,,"非血縁者間
骨髄採取認定施設採取責任医師各位
末梢血幹細胞採取認定施設採取責任医師各位
日本造血細胞移植学会移植認定診療科責任医師各位","公益財団法人 日本骨髄バンク
理事長 小寺 良尚
一般社団法人 日本造血細胞移植学会
理事長 岡本真一郎",平成31年4月17日,2019/4/17,safe/20190417,,,
,,,alert/20190415-1,ドナー確認検査報告書(問診・診察所見)の一部変更について（通知） ,"拝啓

時下、ますますご清祥の段、お慶び申し上げます。
平素より骨髄バンク事業の推進に格別のご高配を賜り厚くお礼申し上げます。
さて、ドナー確認検査報告書(問診・診察所見)<調整医師記入欄:問診・視診・診察所見>上肢の血管確認の項目が変更されることとなりました。
つきましては、別紙ご確認いただき、対応をお願申し上げます。

敬具

記
１. 運用
２０１９年４月１５日 帳票変更分より順次

２. 追加の背景
自己血採血時、血管確保が困難であったり、採血に長時間を要する場合もあり、骨髄採取のみのコーディネートにおいても、確認検査時に血管確認が必要との意見が寄せられ、ドナー安全委員会にて検討した結果、項目を追加することとなりました。

以上

◆別紙 帳票 ドナー確認検査報告書(問診・診察所見)",,,【ドナー確認検査報告書(問診・診察所見)】帳票変更 新旧対照表（2019/4/15）,"項目名
変更前
変更後

<調整医師記入欄:問診・視診・診察所見>
※以下、PB を含むコーディネートのみ(骨髄提供のみは不要です。)
上肢(正中静脈等)に PBSC 採血可能な血管が確保できる(はい・いいえ)
 適格 ・ 不適 ・ 保留

【削除】
（変更なし）
【追加】
ＢＭＨは、上肢で自己血採血ができる程度の血管が確保できる (は
い・いいえ)
適格 ・ 不適 ・ 保留",画像のためコピペできず,,,,,通知文,,骨髄採取,,"調 整 医 師 各 位
非血縁者間骨髄/末梢血幹細胞採取認定施設
採取責任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",平成31年4月15日,2019/4/15,alert/20190415-1,,,
,,,alert/20190415-2,骨髄採取時の術前健診における尿酸検査導入について（通知） ,"拝啓
時下、ますますご清祥の段、お慶び申し上げます。
平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
さて、このたび、骨髄採取時の尿酸検査の必須化について当法人(ドナー安全委員会)で検討した結果、術前健診時に尿酸検査を導入することとなりました。
つきましては、別紙をご確認いただき、ご対応をお願い申し上げます。

敬具

記
１. 運用
２０１９年４月１５日 帳票変更分より順次

２. 検査導入の背景
採取施設より尿酸検査について、ドナー適格性判定基準に基準値が明記されていることから、骨髄採取においても尿酸検査は必要ではないかとの意見が寄せられ、ドナー安全委員会にて検討した結果、ドナー安全の観点から、また、すでに採取施設の判断にて検査を実施している施設もあることから導入することとなりました。

以上
◆別紙 帳票 骨髄採取計画書",,,別紙 帳票 骨髄採取計画書,画像のためコピペできず,,,,,,通知文,,骨髄採取,,"非血縁者間骨髄採取認定施設
採 取 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",平成31年4月15日,2019/4/15,alert/20190415-2,,,
,,,committee/20190415,末梢血幹細胞の一部がシャーベット状になっていた事例について（続報）,"過日、採取 2 日目に採取施設から保冷運搬されたバックの中に一部シャーベット状の塊が浮遊していた事例が移植施設より報告され、運搬者の日本通運(株)（以下、日通）に対し、原因究明と再発防止策が示されるまで保冷運搬の中止を申し入れました（2 月 15 日付マンスリーJMDP 参照）。
https://www.jmdp.or.jp/documents/file/04_medical/notice_f/2019_02_15.pdf
この度、日通より原因ならびに再発防止策が提示され、医療委員会で審議した結果、原因への対策は立てられていることから「提示された再発防止策を徹底していただくことを前提に再開可能とする。」となりました。なお、標記事例については採取施設での保冷材準備にあたっても注意を要するとされましたことを申し添えます。
今後、当法人では保冷運搬に関する手順書等の整備を行う予定ですが、先生方におかれましても、自施設での保冷運搬の際には保冷剤準備等の手順について再度ご確認下さいますようお願いいたします。

＜原 因＞
 １.運搬時に使用する保冷剤の凍結から解凍までの手順書「定温マルチ BOX と保冷する保冷剤の標準運用方法」を事前の準備物に同封していなかったこと。
２.上記 1.により、採取施設が一般的に用いない温度設定(-80℃)で保冷剤を凍結し、そのまま梱包していたこと。

＜今後の対策＞
 １.日通の保冷運搬に際し、骨髄液等保冷輸送サービス手順書「骨髄液等パック及び保冷剤の梱包方法」及び「定温マルチ BOX と保冷する保冷剤の標準運用方法」同封の徹底
 ２.日通内部マニュアル「骨髄液運搬確認書」使用の徹底
３.JMDP 採取認定施設に対する案内文書の見直し",,,,,,,,,,医療委員会より発出,安全情報,末梢血,,"非血縁者間
骨髄採取認定施設採取責任医師 各位
末梢血幹細胞採取認定施設採取責任医師 各位
日本造血細胞移植学会移植認定診療科責任医師 各位
移植医師 各位
登録医師 各位",（公財）日本骨髄バンク医療委員会,平成31年4月15日,2019/4/15,committee/20190415,,,
,,,committee/20190215,末梢血幹細胞の一部がシャーベット状になっていた事例について,"このたび、末梢血幹細胞採取 2 日目に採取施設から保冷運搬されたバックの中に一部シャーベット状の塊が浮遊していた事例が移植施設より報告されました。
移植施設からの報告では、バック全体の色調に異変なく、細胞の凝集は認めなかったこと、更に生細胞率も良好であったことから移植は実施されました（別紙「移植施設からの報告」参照）。
今回の保冷運搬は日本通運（株）（以下、日通）が実施しましたが、その際に使用する保冷剤の準備の手順に関して採取施設への説明が不足していたことが考えられます。
本件は誠に遺憾であり、事案の重大性から、日通に対して、原因究明と再発防止策の策定を求め、保冷運搬の受託は再発防止策が示されるまで中止いただくことを申し入れました。
各先生方におかれましては、再発防止の観点から、自施設での保冷運搬に際して保冷剤の準備等の手順について再度ご確認頂くとともに、貴施設の関係する先生方にもご周知下さいますようお願いいたします。

以上

＜別添資料＞
 ○「移植施設からの報告書」（原文抜粋）",,,安全情報,"〔別紙〕
以下は移植施設からの報告です。（原文抜粋）

１．経過
2019 年 1 月〇日に日通のスタッフが当院に到着。当院の移植のコーデネーター（事務職）が受け取る。保冷剤の中心部の隙間に一重の梱包材（プチプチ）の袋に入れてあった。保冷剤と直接接している、傾いていた、破損していたなどはなかったが、かなり冷えている印象があった。その袋のまま受け取り、病舎に運び、主治医（私）に渡した。私が袋からとりだして、静置した。温度は測定していないがかなり冷えており（0℃以下か）、一部シャーベット状の塊が浮遊していた。全体の色調は異変なく、細胞の凝集は認めなかった。この異常は、私以外に医師 1 名と看護師 1 名が確認している。
まず、バンク事務局に連絡し事実を伝えた。日通に問い合わせるように指示があり、03-5569-2265 に電話した。運搬した担当者ではなかったが、一般的に採取病院から渡たされたまま運ぶので、その間に問題が生じることはないはずとの返答であった。次いで、採取施設の担当医に電話で問い合わせた。1 月〇日（運搬前日）採取後は、保冷庫に保管し、手渡し時、保冷剤は、冷凍したものを使用したと返答があった。当院検査室で、生細胞率をトリパンブルーで測定したところ、96%と良好な状態であった（細胞数は計測していない）。バンク事務局に以上報告し、そのまま使用したいと申し出た。事務局からバンクの管理医師複数に判断を仰ぎ、追認を得た。この間、室温に戻したうえで、運搬日当日中に患者に対し輸注した。輸注の間、患者に異変はなかった。一部サンプリングし、保冷庫に保存したのち、翌日再度生細胞率と細胞数を測定した。生細胞率は 92%細胞数は 152860/μl（採取施設で採取時147800/μl）と変化は認めなかった。特に臍帯血の発注などの対処
はせず、生着確認まで待つ予定です。
【追記】G-CSF 不使用にて、移植後 DAY21 で、WBC590/μl、ANC484/μl、Hb7.0 PLT1.1 万reticulo.0.9％と、生着しつつあるものと考えられます。",,,,,,医療委員会より発出,安全情報,末梢血,,"非血縁者間
骨髄採取認定施設採取責任医師 各位
末梢血幹細胞採取認定施設採取責任医師 各位
日本造血細胞移植学会移植認定診療科責任医師 各位
移植医師 各位
登録医師 各位",（公財）日本骨髄バンク医療委員会,平成31年2月15日,2019/2/15,committee/20190215,,,
,,,safe/20181214-1,末梢血幹細胞採取後、発熱・骨痛のため再入院となった事例について,"このたび、末梢血幹細胞採取を実施し退院後に発熱・強い骨痛のため、再入院となった事例が報告されました。
ドナー安全委員会では非血縁者間ドナーに対する G-CSF 投与に伴う副反応により生じた症状による再入院事例であり、情報共有の観点からご報告いたします。

■採取施設からの報告によれば以下のような経過です。
<ドナー情報> 40 歳代 男性

<経過>
Day -3 G-CSF 投与 2 日目
 骨痛自制内、体温 36℃、脇腹の張り(エコーで脾腫なし)、投与後体温 35.7℃
Day -2 骨痛中等度自制内(カロナール服用なし)、体温 37.1℃、投与後体温 36.8℃
Day -1 骨痛自制内、発熱なし。13:15 カロナール 400mg 服用
Day 0 PBSCH 採取後、しびれあるが徐々に軽減する。23:11 カロナール服用
Day +1 3：00 骨痛あり、カロナール服用。他の訴えなく、予定通り退院とする。
帰宅後より徐々に疼痛増強あり、15：00 カロナール服用
 19:30 採取施設にドナーより連絡あり
 ・帰宅後 38.0℃台の発熱、強い骨痛あり。息切れ等その他の随伴症状なし。
・受診を促すも症状が辛いため、受診をするのは難しいとのこと。感染症合併や間質性肺炎、アナフィラキシー、脾破裂などを疑う症状なく、G-CSF による発","熱、骨痛と判断し、カロナール服用で経過観察し、症状悪化時には救急来院するように伝える。
・22：00 にカロナール服用するも、効果なし、体温 39.6℃。
Day +2 採取施設よりドナーへ確認の連絡
 市販薬 EVE(イブプロフェン：NSAIDs)服用しやや軽減あり。
症状確認し来院を促す。
来院時 全身の骨痛（大腿、肋骨下部、上肢）あり
体温 38.4℃ 血圧 136/86 ㎜ Hg 脈拍 88 回/分 SpO2 96%
インフルエンザ陰性 血液培養陰性 CXP 異常なし

 補液開始、発熱・骨痛に対し 14：11 ロキソプロフェン Na60 ㎎を投与し、経過観察のため再入院とする。

Day +3 5：25 ロキソプロフェン Na 60mg 服用し、疼痛軽減、最高体温 37.2℃
Day +4 最高体温 36.5℃、疼痛なし
Day +5 最高体温 36.2℃、疼痛なし
Day +6 退院 36.5℃、疼痛なし

（検査データの推移）
Day-4 Day-3 Day-2 Day-1 Day0 Day+1 Day+2 Day+3 Day+6
WBC 5,200 29,600 30,000 35,100 38,500 34,900 19,100 10,800 4,900
CRP 0.05 0.34 0.61 0.79 3.03 6.23 0.76
ALP 333 577 551 548 584 478 256
LDH 135 305 247 289 190 157

【採取施設見解】
再入院後はカロナールではなく、解熱鎮痛薬ロキソプロフェンの投与で症状は軽快し、CRP も低下したため、経過から G-CSF による発熱、疼痛と考えられる。
G-CSFの骨痛予防には、副作用が少ないことからアセトアミノフェンを投与していたが、今回の例ではアセトアミノフェンは全く効かず、ロキソプロフェンが著効した。
そのためロキソプロフェンの投与により、早期に症状が軽快していた可能性があった。

以上",,,,,,,,,安全情報,,末梢血,,"非血縁者間末梢血幹細胞採取認定施設
採取責任医 師 各 位
輸 血 責任医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",平成30年12月14日,2018/12/14,safe/20181214-1,,,
,,,safe/20181214-2,骨髄/末梢血幹細胞バッグの取扱いについて（注意喚起,"拝啓
時下、ますますご清祥の段、お慶び申し上げます。
平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
このたび末梢血幹細胞移植施設より、受け取ったバッグに必要情報が記載されたラベルが貼られておらず、直接ドナー氏名と施設内の ID と思われる番号が記載されたのみであるため、記載された氏名とドナーID との照合の問い合わせがあり、採取施設より報告(別紙)を受けました。
これらの報告を受け、本委員会で検討した結果、再発防止の観点からこれらの情報を各採取施設にお伝えすることとし、骨髄/末梢血幹細胞受領書の確認項目および骨髄/末梢血幹細胞採取マニュアルにラベルの貼付、記載内容の確認について変更・追加することとしました。
つきましては、下記内容をご確認いただき、適切なご対応をお願い申し上げます。

敬具

記

対 応 : 骨髄液バッグ/末梢血幹細胞採血バッグの取扱いについて、必ず貼付されたラベルの記載内容(ドナーID 等)を採取施設および運搬担当者相互で確認すること。

以上",,,"別紙
■当該施設からの報告によると下記の経緯となります。","＜経緯＞
・採取終了後、採取細胞の含まれたバッグにドナー氏名・病院内 ID を記載したまま、担当医 A がバッグを輸血部に搬送した。
・輸血部で CD34 陽性細胞のカウント、搬送用バッグへの採取細胞の入れ替えを行った際搬送用バッグにもドナー氏名が転記された。
・担当医 B が輸血部で搬送用バッグを受け取り、ドナー氏名が記載されたままバッグを移植施設の搬送担当者に手渡した。
・担当医 B、移植施設職員ともバッグにドナー氏名が記載されていることに気付いていたが、その場で骨髄バンクから送付されているラベルに張り替えることを提案できなかった。
・移植施設にて搬送されたバッグからドナーの氏名は消去されたため、患者にドナー個人情報が漏洩することは回避された。

＜要因＞
・施設内で非血縁ドナーからの造血幹細胞採取についての定期的な教育が行われていなかったため、採取に関係するスタッフにドナー匿名性保護の原則が完全には周知されていなかった。
・非血縁ドナーからの骨髄・末梢血幹細胞採取の手順書の中にドナー匿名性の確保や搬送用ラベル等に関する明示的な記載がなく、搬送用ラベルの存在を認識していないスタッフが存在していた。採取バッグに搬送用ラベルを貼付するタイミングも ME・ドナー担当医・輸血部の間で取り決めがされていなかった。
・搬送用バッグを移植施設担当者に手渡す際に、ドナーの個人情報を開示せずに匿名のもとで本人確認を行うための手順(JMDP ID 照合など)が定められていなかった。

＜再発防止策＞
1. 非血縁ドナーの造血幹細胞採取に関わる施設内手順書の改訂
2. 非血縁ドナーの造血幹細胞採取に関わる全施設内職員に対する上記の手順書の周知と定期的な教育の実施による運用の徹底
3. 搬送用バッグを移植施設職員・運送会社職員に手渡す際のチェックリストの作成と遵守","骨髄/末梢血幹細胞受領書帳票変更 新旧対照表
変更前 
変更後
【以下の項目について、採取施設および運搬担当者相互で確認すること】
採取施設 
運搬担当者
チューブシーラーによる断端処理 □ □
識別 ID 等の記載 □ □
＜骨髄受領書＞
注意：骨髄液バッグ・末梢血採血管の取扱いについて
骨髄液バッグ・末梢血採血管を梱包する場合は、必ず識別ID 等の記載を複数名で確認してください。

＜末梢血幹細胞受領書＞
注意：PBSC 採血バッグ、末梢血採血管の取扱いについて
 PBSC 採血バッグ、末梢血採血管を梱包する場合は、必ず識別 ID 等の記載を複数名で確認してください。

【以下の項目について、採取施設および運搬担当者相互で確認すること】
（変更）
採取施設 
運搬担当者
チューブシーラーによる断端処理 □ □
バッグ貼付のラベル記載内容（ドナーID 等）が適切である □ □
注意：骨髄液バッグ・末梢血採血管の受け渡しの際は、必ず貼付されたラベルの記載内容（ドナーID 等）について複数名で確認すること。

注意：PBSC 採血バッグ・末梢血採血管の受け渡しの際は、必ず貼付されたラベルの記載
内容（ドナーID 等）について複数名で確認すること。 ",,,"骨髄採取マニュアル HP 版 新旧対照表
項目 
ページ 
旧 
ページ 
新
【手技編】
採取担当医師の見地から
P14 
（13）バッグのシールド方法
２）手渡す前にバッグやチューブが骨髄液で汚染されていないことを確認すること。

P14 
（追加）
２）手渡す前にバッグやチューブが骨髄液で汚染されていないことを確認し、バッグに必要項目が記載されたラベルを貼付すること。

末梢血幹細胞採取マニュアル HP 版 新旧対照表
項目 
ページ 
旧 
ページ 
新
10.運搬について 
P26 
10.3
骨髄・末梢血幹細胞・ドナーリンパ球運搬時の留意点

P26
（追加）
※受け渡し時は、バッグに必要項目が記載されたラベルが貼付されていることを確認すること。",5-6P目は画像,安全情報,,,,"非血縁者間骨髄/末梢血幹細胞採取認定施設
採 取 責 任 医 師 各 位
輸 血 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",平成30年12月14日,2018/12/14,safe/20181214-2,,,
