class1,class2,class3,itemkey,title,body,body2,body3,body4,body5,subkey,remarks,secbody,secbody2,trititle,tribody,tribody2,state,state2,type,place,receiver,author,create_date,year,pdf,image,quantity,備考
,,,doctor/20190815-2,末梢血幹細胞採取の術前健診におけるHDL-C、LDL-C検査導入について（通知） ,"このたび、末梢血幹細胞採取時の HDL-C、LDL-C 検査の必須化について当法人ドナー安全委員会にて検討した結果、術前健診時の検査項目に導入することとなりました。
また、HDL-C、LDL-C 検査の導入に伴いドナー適格性判定基準【脂質異常症】が一部変更
となります。
つきましては、新旧対照表をご確認いただき、ご対応をお願いいたします。

記
１. 運用
２０１９年 ８月 １５日 帳票変更分より順次

２. 検査導入の背景
採取施設より脂質系検査について、現在 T-Cho のみ必須項目となっているが、ドナー適
格性判定基準では、T-Cho の基準はなく HDL-C、LDL-C の基準値が明記されていることから、必須項目とする必要があるのではないかとの意見が寄せられ、ドナー安全委員会にて検討
した結果、ドナー安全の観点から、また、すでに採取施設の判断にて検査を実施している施設もあることから導入することとなりました。

以上

※別紙 帳票 末梢血幹細胞採取計画書","フォローアップ関連帳票変更 新旧対照表（2019/8/15）
帳票名称 
変更前 
変更後
末梢血幹細胞採取計画書 
【新規】 
HDL-C mg /dl
LDL-C mg/dl

ドナー適格性判定基準変更 新旧対照票（2019/8/15）
P20【代謝・栄養疾患】
変更前 
判定 
変更後 
判定
項目
詳細 
BMH 
PBSCH 
詳細 
BMH 
PBSCH
脂質異常症 
術前健診時
※年齢・性別・喫煙歴を踏まえ、総合判断
（次の項目を検査した場合）
HDL-C 40 ㎎/dl 未満かつ
LDL-C 160 ㎎/dl 以上は不適格
LDL-C 180 ㎎/dl 以上は不適格
B
B
B
C
C
C
術前健診時
【削除】
（次の項目を検査した場合）
HDL-C 40 ㎎/dl 未満かつ
LDL-C 160 ㎎/dl 以上は不適格
LDL-C 180 ㎎/dl 以上は不適格
---
B
B
---
C
C",,,,末梢血幹細胞採取計画書（兼　採取判定保留報告・採取中止報告,,,,,,,通知,医師宛通知文,末梢血幹細胞採取,その他,"非血縁者間末梢血幹細胞採取認定施設
採 取 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",2019年8月15日,2019/8/15,doctor/20190815-2,,,"一部画像で入力していない箇所あり
以前入力分と重複あり"
,,,alert/20190815-3,日本麻酔科学会「骨髄バンクドナーに対する麻酔管理について」＜改訂＞,"このたび、日本麻酔科学会制定ガイドライン「骨髄バンクドナーに対する麻酔管理につい
て」が改訂されましたため、通知いたします。
つきましては、別紙をご確認くださいますようお願いいたします。

記
＊＊日本麻酔科学会 制定ガイドライン＊＊

■ 骨髄バンクドナーに対する麻酔管理について＜2019 年 6 月改訂＞
≪今回の改訂≫ 下記文言の追加
「バンクドナーを対象とした、救急救命士による気管挿管の実習は容認できない」
https://anesth.or.jp/files/pdf/guideline_donor_20190703.pdf

※参考情報
「骨髄バンクドナーを対象とした救急救命士による気管挿管実習について（再通知）」2019 年 1 月 15 日発出
https://www.jmdp.or.jp/documents/file/04_medical/notice_w/2019_01_15.pdf

■ 安全な麻酔のためのモニター指針＜2019 年 3 月改訂＞
https://anesth.or.jp/files/pdf/monitor3_20190509.pdf
以上

<a href='result.html?itemkey=alert/20190815-4'target='_blank';>骨髄バンクドナーに対する麻酔管理について</a><br>",,,,,骨髄バンクドナーに対する麻酔管理について,"
2001年8月 制定
2011年11月 改訂
2014年8月 改訂
2019年6月 改訂
公益社団法人 日本麻酔科学会
奉仕の精神に満ちた善意の健康人である骨髄バンクドナーの麻酔管理には，最大限の安全を心がけな
ければならない．また周術期の苦痛をできるだけ軽くする配慮とともに，ドナーの早期社会復帰を妨
げない麻酔管理を行うことが基本となる．麻酔方法の選択に当たっては，以下の事項を考慮に入れな
ければならない．
(1) ドナーは，公益財団法人日本骨髄バンクのドナー適格性判定基準を満たした健康成人であり，採
取予定日の4～6 週間前に採取担当医師により採取前健康診断が行われている．
(2) ドナーの骨髄採取の日程に合わせて約2週間前からレシピエントの前処置を開始するため，一旦決
定した骨髄採取の日程を変更することは極力避けなければならない．
(3) 骨髄採取は腹臥位で行われる．
(4) 比較的短時間に約 1000ml（ドナー体重/kg×20ml 以下）の採取がおこなわれる．採取速度は最大
500ml/30分 とされている．
(5) ドナーの 80～90％は3～4 週かけて約400～800ml の自己血を採血されている．
以上を踏まえた上で麻酔管理を施行するために，公社）日本麻酔科学会として以下のことを提唱す
る．
(1) 公益社団法人日本麻酔科学会認定施設であること．
(2) 公益財団法人日本骨髄バンクの骨髄採取マニュアルに定める麻酔担当医としては，公益社団法人
日本麻酔科学会が認定する麻酔科専門医･指導医であること．あるいは，厚生労働大臣認可の麻酔
科標榜医が担当する場合には，麻酔科専門医・指導医の監督・指導下であること．尚，バンクド
ナーを対象とした，救急救命士による気管挿管の実習は容認できない．
(3) 麻酔管理については，公益社団法人日本麻酔科学会による，『安全な麻酔のためのモニター指
針』を遵守すること．
これらの諸条件を考慮して，骨髄バンクドナーに対する麻酔管理は，公社）日本麻酔科学会が認定す
る麻酔科専門医・指導医の監視のもとで施行することを条件として，全身麻酔あるいは区域麻酔（脊
髄くも膜下麻酔，硬膜外麻酔など）などの具体的な麻酔方法については，担当する麻酔科医の判断の
もとで行うこと．
ただし，どのような麻酔方法を用いるにしろ，その長所，短所，合併症，その他の選択肢との優劣を
ドナーへ十分に説明し，了解を得たうえで施行すること．また，骨髄採取担当医師との十分な意思疎
通と綿密な連携をもって，麻酔管理にあたること．",,,安全な麻酔のためのモニター指針,"[前文]
麻酔中の患者の安全を維持確保するために、日本麻酔科学会は下記の指針が採用されることを
勧告する。この指針は全身麻酔、硬膜外麻酔及び脊髄くも膜下麻酔を行うとき適用される。
[麻酔中のモニター指針]
①現場に麻酔を担当する医師が居て、絶え間なく看視すること。
②酸素化のチェックについて
 皮膚、粘膜、血液の色などを看視すること。
 パルスオキシメータを装着すること。
③換気のチェックについて
 胸郭や呼吸バッグの動き及び呼吸音を監視すること。
 全身麻酔ではカプノメータを装着すること。
 換気量モニターを適宜使用することが望ましい。
④循環のチェックについて
 心音、動脈の触診、動脈波形または脈波の何れか一つを監視すること。
 心電図モニターを用いること。
 血圧測定を行うこと。
 原則として５分間隔で測定し、必要ならば頻回に測定すること。観血式血圧測定は必要に応
じて行う。
⑤体温のチェックについて
 体温測定を行うこと。
⑥筋弛緩のチェックについて
 筋弛緩薬および拮抗薬を使用する際には、筋弛緩状態をモニタリングすること。
⑦脳波モニターの装着について
 脳波モニターは必要に応じて装着すること。
【注意】全身麻酔器使用時は日本麻酔科学会作成の始業点検指針に従って始業点検を実施する
こと。
１９９３．４ 作成
１９９７．５ 第１回 改訂
２００９．１ 第２回 改訂
２０１４．７ 第３回 改訂 
２０１９。３ 第４回 改訂",,通知,医師宛通知文,骨髄採取,麻酔関連,"非血縁者間骨髄採取認定施設
採 取 責 任 医 師 各 位
麻 酔 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
事 務 局",2019年8月15日,2019/8/15,alert/20190815-3,,,一部画像で入力していない箇所あり
,,,safe/20190815,骨髄採取中、骨髄液に抗凝固剤（ヘパリン）が混注されていなかった事例について ,"このたび採取施設より、採取途中より骨髄液に抗凝固剤が混注されていないことが発覚し
抗凝固剤を追加した事例の報告がありました。本委員会で検討した結果、再発防止の観点か
ら通知することといたします。
つきましては、下記内容をご確認いただき、適切なご対応をお願いいたします。
記
対 応 : 骨髄採取時の責任体制・採取手順（SOP）を明確にし、手順を遵守する。
また、骨髄採取時の責任体制については、ドナー（採取）側を主に担当する
医師と、骨髄液の処理を主に担当する医師を明確にすることが望ましい。
【採取施設報告書より】
＜概要＞
・生理食塩水を 2L ビーカーに移し、500ml ビーカーにヘパリン加生食を作成。
・骨髄採取中にコレクションコンテナー内(ボーンマロウコレクションキット使用)の凝血塊がいつ
もより目立つことに術者が気づき、採取途中よりヘパリン加生食が入ったビーカーと生食のみが
入ったビーカーを取り違え、骨髄液にヘパリンが混注されていないことが発覚し、最終ヘパリン
濃度が 10 単位/ml となるよう追加した。
＜再発防止策＞
・取り違え防止のため、生食のみのビーカーを採取前に破棄する。
・採取担当医師が、採取をしながら全ての状況を把握することは困難であるため、骨髄液の処理を
専任とする医師を 1 名増員する。
以上",,,,,,,,,,,,安全情報,,骨髄採取,採取産物・採取バッグ関連,"非血縁者間骨髄採取認定施設
採 取 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",2019年8月15日,2019/8/15,safe/20190815,,,
,,,alert/20190815-4,骨髄バンクドナーに対する麻酔管理について,"2001年8月 制定
2011年11月 改訂
2014年8月 改訂
2019年6月 改訂

奉仕の精神に満ちた善意の健康人である骨髄バンクドナーの麻酔管理には，最大限の安全を心がけなければならない．また周術期の苦痛をできるだけ軽くする配慮とともに，ドナーの早期社会復帰を妨げない麻酔管理を行うことが基本となる．麻酔方法の選択に当たっては，以下の事項を考慮に入れなければならない．

(1) ドナーは，公益財団法人日本骨髄バンクのドナー適格性判定基準を満たした健康成人であり，採取予定日の4～6 週間前に採取担当医師により採取前健康診断が行われている．
(2) ドナーの骨髄採取の日程に合わせて約2週間前からレシピエントの前処置を開始するため，一旦決定した骨髄採取の日程を変更することは極力避けなければならない．
(3) 骨髄採取は腹臥位で行われる．
(4) 比較的短時間に約 1000ml（ドナー体重/kg×20ml 以下）の採取がおこなわれる．採取速度は最大500ml/30分 とされている．
(5) ドナーの 80～90％は3～4 週かけて約400～800ml の自己血を採血されている．

以上を踏まえた上で麻酔管理を施行するために，公社）日本麻酔科学会として以下のことを提唱する．

(1) 公益社団法人日本麻酔科学会認定施設であること．
(2) 公益財団法人日本骨髄バンクの骨髄採取マニュアルに定める麻酔担当医としては，公益社団法人日本麻酔科学会が認定する麻酔科専門医･指導医であること．あるいは，厚生労働大臣認可の麻酔科標榜医が担当する場合には，麻酔科専門医・指導医の監督・指導下であること．尚，バンクドナーを対象とした，救急救命士による気管挿管の実習は容認できない．
(3) 麻酔管理については，公益社団法人日本麻酔科学会による，『安全な麻酔のためのモニター指針』を遵守すること．

これらの諸条件を考慮して，骨髄バンクドナーに対する麻酔管理は，公社）日本麻酔科学会が認定する麻酔科専門医・指導医の監視のもとで施行することを条件として，全身麻酔あるいは区域麻酔（脊髄くも膜下麻酔，硬膜外麻酔など）などの具体的な麻酔方法については，担当する麻酔科医の判断のもとで行うこと．
ただし，どのような麻酔方法を用いるにしろ，その長所，短所，合併症，その他の選択肢との優劣をドナーへ十分に説明し，了解を得たうえで施行すること．また，骨髄採取担当医師との十分な意思疎通と綿密な連携をもって，麻酔管理にあたること．",,,,,,,,,,,,通知,,骨髄採取,,,公益社団法人 日本麻酔科学会,2019年8月15日,2019/8/15,alert/20190815-4,,,
,,,alert/20190815-5,安全な麻酔のためのモニター指針 ,"[前文]
麻酔中の患者の安全を維持確保するために、日本麻酔科学会は下記の指針が採用されることを 勧告する。この指針は全身麻酔、硬膜外麻酔及び脊髄くも膜下麻酔を行うとき適用される。

[麻酔中のモニター指針]
①現場に麻酔を担当する医師が居て、絶え間なく看視すること。
②酸素化のチェックについて
皮膚、粘膜、血液の色などを看視すること。
パルスオキシメータを装着すること。
③換気のチェックについて
胸郭や呼吸バッグの動き及び呼吸音を監視すること。
全身麻酔ではカプノメータを装着すること。
換気量モニターを適宜使用することが望ましい。
④循環のチェックについて
心音、動脈の触診、動脈波形または脈波の何れか一つを監視すること。
心電図モニターを用いること。
血圧測定を行うこと。
原則として５分間隔で測定し、必要ならば頻回に測定すること。観血式血圧測定は必要に応じて行う。
⑤体温のチェックについて
体温測定を行うこと。
⑥筋弛緩のチェックについて
筋弛緩薬および拮抗薬を使用する際には、筋弛緩状態をモニタリングすること。
⑦脳波モニターの装着について
脳波モニターは必要に応じて装着すること。

【注意】全身麻酔器使用時は日本麻酔科学会作成の始業点検指針に従って始業点検を実施すること。
１９９３．４ 作成
１９９７．５ 第１回 改訂
２００９．１ 第２回 改訂
２０１４．７ 第３回 改訂
２０１９．３ 第４回 改訂",,,,,,,,,,,,通知,,,,,,2019年8月15日,2019/8/15,alert/20190815-5,,,
,,,doctor/20190815-1,フォローアップ関連帳票の変更について(通知) ,"平素より骨髄バンク事業の推進に格別のご高配を賜り厚くお礼申し上げます。
さて、下記の各採取関連帳票を変更することとなりました。
つきましては、フォローアップ関連帳票変更 新旧対照表を参照の上、ご対応くださいま
すようお願いいたします。

記
1. ２０１９年 ８月 １５日 帳票変更分より順次

2. 対象帳票
・骨髄採取関連
骨髄採取計画書、非血縁者間・骨髄採取報告書
・末梢血幹細胞採取関連
末梢血幹細胞採取計画書、G-CSF 投与報告書（2～6 日目）
・DLI 関連
DLI 採血計画書

以上","フォローアップ関連帳票変更 新旧対照表（2019/8/15）
帳票名称 
変更前 
変更後
●骨髄採取計画書
●末梢血幹細胞採取計画書
●DLI 採血計画書

術前健診担当医 ： 印
麻酔科担当医 ： 印
担当地区代表協力医師 確認 ： 印
尚、麻酔科担当医の署名・捺印が遅れる場合には、署名・捺印なしのものを取り急ぎお送りいただき、後日、麻酔科担当医の署名・捺印入りのものを追って FAX 送付してください。
術前健診担当医師： 印
確認医師： 印
担当地区代表協力医師 確認 ： 印
尚、確認医師の署名・捺印が遅れる場合には、署名・捺印なしのものを取り急ぎお送りいただき、後日、確認医師の署名・捺印入りのものを追って FAX 送付してください。
採血医師名： 印
地区代表協力医師 確認：

術前健診担当医 ：自署
麻酔科担当医 ：自署
担当地区代表協力医師 確認 ：自署
尚、麻酔科担当医の署名が遅れる場合には、署名なしのものを取り急ぎお送りいただき、後日、麻酔科担当医の署名入りのものを追ってFAX 送付してください。
術前健診担当医師 ：自署
確認医師 ：自署
担当地区代表協力医師 確認 ：自署
尚、確認医師の署名が遅れる場合には、署名なしのものを取り急ぎお送りいただき、後日、確認医師の署名入りのものを追って FAX 送付してください。
事前検査担当医 ：自署
地区代表協力医師 確認：自署

非血縁者間・骨髄採取報告書
採取担当医師： 印 
採取担当医師：

G-CSF 投与報告書（2～6 日目） 1/6
特記事項
【新規】
【削除】
▼2 ページ目以降に記載がない場合、以下署名の上、1/6のみFAX送付してください。
20 年 月 日
施設名および所属 ： 科
担当医師 ：",,,,G-CSF投与報告書（2～6日目）1/6,,,,,,,通知,医師宛通知文,骨髄採取・末梢血幹細胞採取,その他,"非血縁者間骨髄/末梢血幹細胞採取認定施設
採 取 責 任 医 師 各 位
輸 血 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
事 務 局",2019年8月15日,2019/8/15,doctor/20190815-1,,,"一部画像で入力していない箇所あり
以前入力分と重複あり"
,,,safe/20190712,非血縁者間末梢血幹細胞採取における併用薬バイアスピリン投与について ,"拝啓

時下、ますますご清祥の段、お慶び申し上げます。
平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
このたび、非血縁者間末梢血幹細胞採取において、Ｇ-ＣＳＦ投与時に併用薬としてバイアスピリンを投与するとの報告がありました。
この報告を受け、本委員会で検討した結果、バイアスピリンについては出血のリスクがあることから、投与しないことを周知することといたしました。
つきましては、下記内容をご確認いただき、適切なご対応をお願い申し上げます。

敬具

記
非血縁者間末梢血幹細胞採取において、バイアスピリン等の抗血小板薬を投与しないこと。
＜参考 非血縁者間末梢血幹細胞採取マニュアル 2018.11.15 ホームページ版 Ｐ22 7.1.1＞
https://www.jmdp.or.jp/documents/file/04_medical/f-up03a.pdf

以上",,,,,,,,,,,,安全情報,,末梢血幹細胞採取,その他,"非血縁者間末梢血幹細胞採取認定施設
採取責任医 師 各 位
輸 血 責任医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",2019年7月12日,2019/7/12,safe/20190712,,,
,,,alert/20190614-1,ドナーリンパ球輸注療法(DLI)コーディネートに関する変更について,"このたび、DLI コーディネートに関して、新たに「DLI 採血後の造血幹細胞採取(自己血採血)間隔について」の基準を設け、また「DLI 採血前後の献血間隔について」が変更されることとなりました。
詳細は別紙をご確認ください。

1. DLI 採血後の造血幹細胞採取(自己血採血)間隔について
『ドナーリンパ球輸注（ＤＬＩ）マニュアル 第３版（2019/6/14 改訂）』
【追加】P7 「DLI 採血後の造血幹細胞採取(自己血採血)間隔について」

2. DLI 採血前後の献血間隔について
『DLI 採血前のドナーの方へ ～DLI に関する説明書～ 』
【変更】P4 ● 献血はお控えください
<br>
<a href='result.html?itemkey=alert/20190614-3' target='_blank';>DLI 採血前のドナーの方へ (第 5 版 ）2019/6/14 発行)</a>
<a href='result.html?itemkey=alert/20190614-2' target='_blank';>ドナーリンパ球輸注（DLI）マニュアル第 3 版 (2019/6/14 改訂)</a><br>",,,,,,,,,,,,通知,,DLI,その他,"コーディネーター各位
地区事務局 御中","公益財団法人 日本骨髄バンク
ドナーコーディネート部",2019年6月14日,2019/6/14,alert/20190614-1,,,
,,,alert/20190614-2,ドナーリンパ球輸注（DLI）マニュアル第 3 版 (2019/6/14 改訂),"新旧対照表
項目 　
ページ 
旧 
ページ 
新
目次 
（追加）
5.DLI 採血後の造血幹細胞採取（自己血採血）間隔について・・・P7
（以下ページ数変更あり）

5.DLI 採血後の造血幹細胞採取（自己血採血）間隔について
【新規】 
P7 
5.DLI 採血後の造血幹細胞採取（自己血採血）間隔について

【DLI 全血採血の場合】
採取方法 
DLI 200ml全血採血後の場合
DLI 400ml全血採血後の場合
骨髄採取 
男女共 DLI の 4 週間後より採取可能
※自己血採血がある場合は、自己血採血日を基準とする
男性は DLI の 12 週間後、女性は、16 週間後より採取可能
※自己血採血がある場合は、自己血採血日を基準とする

末梢血幹細胞採取
男女共 DLI の 8 週間後より採取可能

【DLI 成分採血の場合】
採取方法 
DLI 成分採血後の場合
骨髄採取 
男女共 DLI の 2 週間後より採取可能
末梢血幹細胞採取 
裏表紙
平成 15 年 11 月 1 日第 2 版第 1 刷発行
平成 30 年 11 月 15 日第 3 版作成
（発行日追加）
2019 年 6 月 14 日第 3 版改訂",,,,,,,,,,,,通知,,,,,,2019年6月14日,2019/6/14,alert/20190614-2,,,一覧の日付を入力。PDFに日付の記入はない。
,,,alert/20190614-3,DLI 採血前のドナーの方へ (第 5 版 ）2019/6/14 発行),"新旧対照表
項目 
ページ 
旧 
ページ 
新

4.日常生活・健康に関するお願い
P4 
●献血はお控えください
採血後 ： 検査などで異常のないことが確認されましたら２ヵ月後から献血が可能となります。（なお、骨髄・末梢
血幹細胞採取後、6 ヵ月以内も献血はできません）

P4

（変更）
採血後 ： 検査などで異常のないことが確認されると、２週間後以降から献血が可能となります。ただし、献血方法により異なるため、献血可能時期については下表をご参照ください（なお、骨髄・末梢血幹細胞採取後、6 ヵ月以内も献血はできません）。

【参照】 DLI 採血方法による献血可能時期について
DLI採血
成分献血
全血200ｍｌ
全血400ｍｌ
献血
成分献血
全献血
2週間後から
4週間後から
8週間後から
男性：12週間後から
女性：16週間後から
裏表紙 
2013 年 4 月 1 日 第 1 刷発行
2013 年 10 月 1 日 第 2 版発行
2016 年 12 月 1 日 第 3 版発行
2017 年 4 月 1 日 第 4 版発行 
（発行日追加）
2019 年 6 月 14 日 第 5 版発行",,,,,,,,,,,,通知,,,,,,2019年6月14日,2019/6/14,alert/20190614-3,,,
,,,alert/20190515-3,東京電力福島第一原子力発電所で発生した事故に伴う骨髄提供者並びに末梢血幹細胞提供者に対する「ドナー適格性判定基準」について,"1. 概要

このたびの東京電力福島第一原子力発電所で発生した事故に伴う日本赤十字社の献血業務対応を踏まえ、骨髄提供者、末梢血幹細胞提供者並びに移植患者の保護等の観点から「ドナー適格性判定基準」への追加事項をドナー安全委員会において検討しました。
当財団で策定している「ドナー適格性判定基準」は日本赤十字社の献血基準に準拠していますが、追加基準の策定にあたっては、１）日本赤十字社「放射線被ばくの恐れのある献血者の受け入れについて」、２）厚生労働省労働基準局長から発出された被ばくに関する通知、３）当財団医療委員会の意見等を参考として、当面の間、2.
に示す基準とすることが決定しました。

2．適格性基準
福島第一原子力発電所において作業を実施した方について、平成 23 年東日本大震災（東北地方太平洋沖地震）に起因して原子力災害特別措置法(平成 11 年法律 156号)第 15 条の規定による原子力緊急事態宣言がなされた平成 23 年 3 月 11 日から、同条第 4 項の原子力緊急事態解除宣言がなされた日まで、相当量の被ばく線量(通算 100ミリシーベルト以上、または、短期間で被ばく線量 100 ミリシーベルト以上)を超えた場合には骨髄および末梢血幹細胞の提供は不可（D 判定）とします。

注１）上記以外(通算 100 ミリシーベルト未満)は、被ばく線量を患者主治医に伝える。
注２）当該対象者は、福島第一原子力発電所周辺における作業従事者で相当量の被ばくをした方を想定しており、福島第一、第二原子力発電所の避難勧告区域以内の避難住民および物資搬入、行方不明者捜索等で短期間の作業を従事した者については、健康状態等に十分配慮し、ドナー適格性判定基準に準じて判定する。",,,,,ドナー適格性判定基準（ＢＭH／ＰＢＳＣH） （2019/5/15 改訂）,"【東京電力福島第一原子力発電所で発生した事故に伴う骨髄提供者並びに末梢血幹細胞提供者に対する「ドナー適格性基準」追加について】

P74
旧
新
詳細
詳細

表題
東京電力福島第一原子力発電所で発生した事故に伴う骨髄提供者並びに末梢血幹細胞提供者に対する「ドナー適格性判定基準」追加について

【変更】
東京電力福島第一原子力発電所で発生した事故に伴う骨髄提供者並び
に末梢血幹細胞提供者に対する「ドナー適格性判定基準」について

2.適格性基準
注 1）上記以外（通算 100 ミリシーベルト未満）は、被ばく線量を患者主治医に伝えたうえで患者、ご家族および患者主治医等がリスクを検討し判断する。
注 1）上記以外（通算 100 ミリシーベルト未満）は、被ばく線量を患者主治医に伝える",,,,,,通知,,骨髄採取・末梢血幹細胞採取,その他,,,2019年5月15日,2019/5/15,alert/20190515-3,,,一覧の日付を入力。PDFに日付の記入はない。
,,,doctor/20190417,非血縁者間骨髄提供者死亡事例（米国）について,"2019 年 2 月米国において、骨髄提供後のボランティアドナー(以下、ドナーという)が昏
睡状態となり、約 1 か月後死亡したとの情報が、4 月 12 日全米骨髄バンク（NMDP）から当法人に提供されました。

NMDP からの報告によれば本事例に関する情報は以下のとおりです。

当該ドナーにおいて、コーディネート過程で本人から、睡眠時無呼吸（sleep apnea）（＝
無呼吸症候群）ならびに鎌状赤血球貧血（sickle cell anemia）のキャリアーであるとの申告があったため、採取チームは当初予定の末梢血幹細胞採取から局所麻酔下での骨髄採取術へと変更しました。

同年 2 月骨髄採取後、当該ドナーは昏睡状態に陥り回復することなく約 1 か月後に永眠されました。
本邦においては、非血縁骨髄提供者に対するドナー適格性判定基準が厳格に定められており、上記のような既往歴や現病歴のある場合は採取施行に至らないことを申し添えます。
最後に、ご遺族の方々、関係者の皆様に心より哀悼の意を表します。

なお、本事例に関して新たな情報が得られましたら改めて情報提供いたします。

◎情報
・提供者：40 歳代 男性
・局所麻酔下での骨髄採取後、昏睡状態となり、約 1 か月後死亡に至った。

以上",,,,,,,,,,,,安全情報,医師宛通知文,骨髄採取,その他,"非血縁者間
骨髄採取認定施設採取責任医師各位
末梢血幹細胞採取認定施設採取責任医師各位
日本造血細胞移植学会移植認定診療科責任医師各位","公益財団法人 日本骨髄バンク
理事長 小寺 良尚
一般社団法人 日本造血細胞移植学会
理事長 岡本真一郎",2019年4月17日,2019/4/17,doctor/20190417,,,
,,,committee/20190415,末梢血幹細胞の一部がシャーベット状になっていた事例について（続報）,"過日、採取 2 日目に採取施設から保冷運搬されたバックの中に一部シャーベット状の塊が浮遊していた事例が移植施設より報告され、運搬者の日本通運(株)（以下、日通）に対し、原因究明と再発防止策が示されるまで保冷運搬の中止を申し入れました（2 月 15 日付マンスリーJMDP 参照）。
https://www.jmdp.or.jp/documents/file/04_medical/notice_f/2019_02_15.pdf
この度、日通より原因ならびに再発防止策が提示され、医療委員会で審議した結果、原因への対策は立てられていることから「提示された再発防止策を徹底していただくことを前提に再開可能とする。」となりました。なお、標記事例については採取施設での保冷材準備にあたっても注意を要するとされましたことを申し添えます。
今後、当法人では保冷運搬に関する手順書等の整備を行う予定ですが、先生方におかれましても、自施設での保冷運搬の際には保冷剤準備等の手順について再度ご確認下さいますようお願いいたします。

＜原 因＞
 １.運搬時に使用する保冷剤の凍結から解凍までの手順書「定温マルチ BOX と保冷する保冷剤の標準運用方法」を事前の準備物に同封していなかったこと。
２.上記 1.により、採取施設が一般的に用いない温度設定(-80℃)で保冷剤を凍結し、そのまま梱包していたこと。

＜今後の対策＞
 １.日通の保冷運搬に際し、骨髄液等保冷輸送サービス手順書「骨髄液等パック及び保冷剤の梱包方法」及び「定温マルチ BOX と保冷する保冷剤の標準運用方法」同封の徹底
 ２.日通内部マニュアル「骨髄液運搬確認書」使用の徹底
３.JMDP 採取認定施設に対する案内文書の見直し",,,,,,,,,,,,医療委員会通知,安全情報,末梢血幹細胞採取,採取産物・採取バッグ関連,"非血縁者間
骨髄採取認定施設採取責任医師 各位
末梢血幹細胞採取認定施設採取責任医師 各位
日本造血細胞移植学会移植認定診療科責任医師 各位
移植医師 各位
登録医師 各位",（公財）日本骨髄バンク医療委員会,2019年4月15日,2019/4/15,committee/20190415,,,
,,,doctor/20190415-2,骨髄採取時の術前健診における尿酸検査導入について（通知） ,"拝啓
時下、ますますご清祥の段、お慶び申し上げます。
平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
さて、このたび、骨髄採取時の尿酸検査の必須化について当法人(ドナー安全委員会)で
検討した結果、術前健診時に尿酸検査を導入することとなりました。
つきましては、別紙をご確認いただき、ご対応をお願い申し上げます。

敬具

記

１. 運用
２０１９年４月１５日 帳票変更分より順次

２. 検査導入の背景
採取施設より尿酸検査について、ドナー適格性判定基準に基準値が明記されていることから、骨髄採取においても尿酸検査は必要ではないかとの意見が寄せられ、ドナー安全委員会にて検討した結果、ドナー安全の観点から、また、すでに採取施設の判断にて検査を実施している施設もあることから導入することとなりました。

以上

◆別紙 帳票 骨髄採取計画書",,,,,別紙（見本）骨髄採取計画書（兼　採取判定保留報告・採取中止報告）,,,,,,,通知,医師宛通知文,骨髄採取,その他,"非血縁者間骨髄採取認定施設
採 取 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",2019年4月15日,2019/4/15,doctor/20190415-2,,,"一部画像で入力していない箇所あり
以前入力分と重複あり"
